channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,predict_view,predict_like,predict_comment,view
More Xlice,144049724,25700,434,8098,290,16,1177732,111458,154,0,8098
Zenith88,1748686,1,6,5,1,0,0,1768640,13709,0,5
Spiral Jaden,332788426,60200,591,12213,378,72,5675849,71762,86,0,12213
Yu-Peng Chen - Topic,305746260,64400,1720,0,0,0,0,0,0,0,0
TheFernanxd,334330317,6670,124,27064,791,82,11046315,1435276,1625,4,27064
Karenzz,73600078,95900,3015,691321,29424,286,2513314,2549943,4206,1,691321
ZURIN._XZ,370087,19,9,1538,57,8,43741,28633350,41127,146,1538
Hu Tao Genshin Impact 75,100122510,18,39,263,8,3,1030714,5168359,6092,58,263
SanaiTV,266712335,2670,106,1691,128,8,7327407,224027,657,1,1691
Genshin Impact Wishes,148714929,466,145,4209,111,4,3506296,3194938,3265,2,4209
Zlime - GENSHIN IMPACT ,183497861,11,13,39,1,0,635430,1254126,1246,0,39
Zajef Daily,111459117,39500,500,37328,1343,221,4298399,334277,466,1,37328
Genshin Impact Guides,171564683,19,4,1210,17,2,328143,22526888,12265,36,1210
Genshin Impact Video,165117795,6,10,34,1,0,339669,2004458,2284,0,34
Deburin | Genshin Impact,334577313,426,1529,716,12,1,11492906,594528,386,0,716
MasMas Genshin,185430524,706,609,777,15,4,5696032,389301,291,1,777
Ethobot,320758716,8670000,1434,5877639,182524,888,17822771,239802,288,0,5877639
Bluu's Teyvat TV,219362,32,1,121,18,4,0,1337534,7711,43,121
Streetwise Rhapsody,514157964,143000,3807,64637,1734,286,1613895,159887,166,0,64637
BettyBear Official,177471019,101000,608,75609,3697,72,11650686,264802,501,0,75609
BroX,177619529,82900,1023,101307,2988,83,6405137,432269,494,0,101307
cait,100760206,27200,306,49582,2016,138,6556055,644799,1016,1,49582
DukTV,310465692,356000,1125,273395,21690,269,3495797,271650,835,0,273395
Kokobear,398890066,147000,964,173922,9134,513,9812356,418510,851,1,173922
Lumine Genshin Impact,4152153,62,36,1643,50,4,357322,9373792,11055,22,1643
Moga,339716818,563000,2401,248293,12793,245,6779291,156000,311,0,248293
Top Genshin Impact Plays,155143699,333,18,5339,87,2,4828700,5671332,3581,2,5339
Kewer天龍,147791263,2460,686,12180,905,15,6385843,1751384,5043,2,12180
AK Genshin,9132916,4,10,722,0,3,106174,63847904,0,261,722
Big Genshin Brother,70701722,7330,27,51314,3078,211,7639211,2476289,5756,10,51314
Serokai,80507242,24300,92,93724,4478,219,3965892,1364312,2526,3,93724
ozikoto,367015900,265000,3846,43638,1113,122,20206543,58248,57,0,43638
MoriKitchen,178985721,542000,214,87659,4960,53,4943999,57209,125,0,87659
Orz - Genshin Impact,162648043,2360,231,8704,286,7,17654833,1304596,1661,1,8704
yabgitulahh,281632276,624,22,7618,333,18,2950034,4318429,7315,10,7618
MonsterGaming,288572466,139000,680,182929,7130,497,20076154,465518,703,1,182929
Author203 [Genshin Impact Livestream],207140123,29,170,15,2,0,11827321,182962,945,0,15
ECHO 101,140714222,39500,2028,78029,2456,32,2528035,698760,852,0,78029
random_Clips_5,149796,1,3,13,0,0,45937,4598464,0,0,13
Zani No.1 Fan,43363730,19,18,1872,44,2,691409,34851516,31747,36,1872
UrbanQuestCos,2613259,44,25,1139,21,0,200028,9156731,6542,0,1139
🌙Alice🌙,307271,9,6,0,0,0,0,0,0,0,0
GambleWithGrimm,32653034,45,0,0,0,0,0,0,0,0,0
Gw kings Gaming,501534,5,2,14,0,5,0,990438,0,348,14
arlecchino Impact,77897928,53900,152,28070,66,173,1814000,184214,16,1,28070
Zy0x Archives,299892380,25700,468,19594,495,68,5857638,269686,264,0,19594
Shiya,110729333,1700,2,0,0,0,0,0,0,0,0
Cwack on Crack,131385378,199000,2577,304579,11687,240,12086600,541397,805,0,304579
Toon Tv Ai,39886747,188,228,282,9,0,1327093,530592,656,0,282
AsianGuyStream,173379556,406000,603,481913,22020,681,23379302,419867,743,0,481913
Beginner's Guide to Genshin Impact,50522514,4,32,9,0,1,456203,795888,0,87,9
Wise Cat Gaming,136090582,165000,1696,2234369,67437,465,6433684,4790053,5602,0,2234369
Genshin Impact Channel 🧣🎮,188649056,28,0,0,0,0,0,0,0,0,0
DESTROYER GAMING,2410740,12,12,3,0,0,88068,88432,0,0,3
Genshin Impact Android ,245802494,6,10,7,2,0,98240,412682,4569,0,7
cowhe,515469,3,2,372,2,0,45314,43862272,9139,0,372
Rinju Channel,333300995,21300,163,1222915,35525,1406,10885708,20308886,22864,22,1222915
Nottran,285558732,10,26,359,6,0,5623194,12698835,8225,0,359
Genshin Editor Channel ,49388430,32,79,124,4,0,2430711,1370696,1713,0,124
Nux Taku,367294060,1970000,1387,210297,16199,1005,11233123,37760,112,0,210297
Genshin Impact Productions,80216644,56,1,3716,140,8,0,23472379,34272,49,3716
Genshin Impact World Game,22016193,2,8,403,5,1,94738,71276192,34272,174,403
Yazuka Impact,49411154,7540,654,3665,60,39,791321,171938,109,1,3665
NoPayLegend,26641647,15,53,230,0,0,383756,5423829,0,0,230
genshin impact videos ,23185253,1,9,55,1,1,122486,19455040,13709,348,55
TherapistKitty1106,145374883,18,12,830,12,0,94625,16310791,9139,0,830
Genshin impact 446 ,21756177,3,13,393,6,1,926547,46338368,27418,116,393
ShinMe Channel,391180588,15300,1460,3526,148,14,16694797,81519,132,0,3526
Richellyna,139626488,115000,772,88317,6737,214,10251603,271653,803,0,88317
Noirr,230747164,4630,128,13214,341,53,3629041,1009538,1009,3,13214
Topi Sihir Animation,225380958,1520000,122,2502755,70515,3262,10570253,582430,635,0,2502755
Genshin Impact - Miliastra Wonderland,26614133,84000,95,28869,1111,136,1846796,121568,181,0,28869
Knowing Genshin Channel,136477897,1,7,36,1,0,57002,12734208,13709,0,36
Invi,99920363,16200,141,13642,886,86,6652399,297873,749,1,13642
Genshin Impact Jane,95420076,13,49,26,1,0,365466,707456,1054,0,26
Aiynao,179322479,39700,738,18852,1472,122,11586341,167971,508,1,18852
Big Guap - Genshin Impact,188778833,2,1,33,5,5,0,5836512,34272,870,33
Panelao,31693893,52,10,2108,168,6,1105161,14339588,44290,40,2108
Nyafu* _ Genshin,234374564,11,38,128,2,1,1459079,4116107,2492,31,128
sazanka / Game Sound Channel,43431026,54,46,75,1,0,1411200,491288,253,0,75
𝕯𝖗𝖊𝖝𝖙𝖆𝖗,51834536,77,53,700,22,0,2766510,3215709,3916,0,700
Genshin Impact Quest Archive,183660484,16900,731,6321,66,10,3454755,132302,53,0,6321
Genshin impact girl,279981023,29,2,52,6,2,40,634270,2836,24,52
Genshin Impact Unofficial,116054451,47,10,60,3,1,1414210,451567,875,7,60
Natlan Diluc,146401670,8680,544,217680,5896,247,3024755,8870911,9312,9,217680
Genshin world channel,105494721,60,17,345,13,0,83908,2033936,2970,0,345
NFTKate's Genshin Impact World,102802474,2,37,8,0,0,293921,1414912,0,0,8
Shonyx,324868907,936000,1124,59926,2499,366,5520659,22646,36,0,59926
Dude Game,296580361,59700,788,35069,1270,207,6327003,207787,291,1,35069
TVRose,165116974,10300,76,32600,1186,76,5413997,1119566,1578,2,32600
Diamond Impact,337633188,9290,272,68867,1507,173,10721143,2622194,2223,6,68867
Jello Impact,513481587,124000,716,69371,2799,548,8785346,197890,309,1,69371
