channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,avg10Duration,frequency,isVerify,avgView,avgLikes,avgComments,avgDuration,view
TenZ,1775209366,2710000,1014,517508,19398,441,959,378990,1,454248,10753,250,2571,517508
Moodapooda,1775209366,66300,351,94563,2865,76,1110,4378000,1,454248,10753,250,2571,94563
CupppaJoe+,1775209366,27400,41,184581,5781,860,1291,1971430,1,454248,10753,250,2571,184581
Kanga,1775209366,139000,1221,433807,9200,399,498,10534915,1,454248,10753,250,2571,433807
Plat Chat VALORANT,1775209366,101000,407,132177,4890,123,4138,10375219,1,454248,10753,250,2571,132177
Im_Nb1 أمين,1775209366,105000,4958,6002,92,11,567,238938,1,454248,10753,250,2571,6002
Egoist,1775209366,3010,12,20475,858,103,922,201740,1,454248,10753,250,2571,20475
VALORANT Challengers TR Birlik Ligi,1775209367,141000,1724,50225,594,6,14989,6099757,1,454248,10753,250,2571,50225
VALORANT,1775209367,2890000,664,24926226,292639,6867,116,15272398,1,454248,10753,250,2571,24926226
TheAnh96,1775209366,243000,2236,67985,1199,56,799,1690248,1,454248,10753,250,2571,67985
Spirit,1775209367,15500,201,64697,1790,40,691,2884682,1,454248,10753,250,2571,64697
Balla,1775209367,11100,22,103979,2955,193,1099,2004999,1,454248,10753,250,2571,103979
Valorant by JARSO,1775209367,47600,609,20818,765,32,1046,1237997,1,454248,10753,250,2571,20818
ohnedrilla,1775209367,123000,307,320188,9426,131,242,11223440,1,454248,10753,250,2571,320188
VALORANT - Protatomonster,1775209367,870000,2517,72444,974,35,1447,1672758,1,454248,10753,250,2571,72444
Commend,1775209367,90900,166,504324,12742,547,1109,10299644,1,454248,10753,250,2571,504324
s0m,1775209367,404000,857,251352,8139,73,806,6504996,1,454248,10753,250,2571,251352
Rawzu,1775209368,503000,220,569304,16745,326,670,8417046,1,454248,10753,250,2571,569304
SC Valorant Guides,1775209368,516000,1248,295833,7664,168,1172,10039131,1,454248,10753,250,2571,295833
ohnepixel raw,1775209368,810000,2138,1823652,42317,530,1515,8259877,1,454248,10753,250,2571,1823652
Sinatraa,1775209368,512000,980,434894,8628,67,846,18950804,1,454248,10753,250,2571,434894
VALOPIUM,1775209368,19400,372,41082,608,18,738,2122095,1,454248,10753,250,2571,41082
RDC Live,1775209368,643000,1137,243878,8415,565,5112,10325778,1,454248,10753,250,2571,243878
VALORANT // JAPAN,1775209368,473000,2174,177473,2894,33,2732,10581726,1,454248,10753,250,2571,177473
royalG,1775209368,274000,279,646695,22745,313,1888,11749605,1,454248,10753,250,2571,646695
Gamers Club Valorant,1775209368,18100,675,15508,494,2,17824,1383720,1,454248,10753,250,2571,15508
