channel,epoch,followers,video_count,avg10View,avg10Like,avg10Comment,frequency,isVerify,predict_view,predict_like,predict_comment,view
The Unlikely Genshin Gamer,108925891,13500,75,36660,1664,188,10314435,0,868554,1900,4,36660
Sirocco | Genshin Impact,5650996,2,151,16,0,0,583000,0,2558752,0,0,16
Genshin impact game,39922340,0,5,0,0,0,179914,0,,,,0
R0ixy Dragony,339274921,256000,7696,7104,207,82,2808807,0,8875,12,0,7104
GENSHIN IMPACT TV,177812230,452,27,38809,829,64,2166228,0,27462003,28279,45,38809
ennieee,443522535,23200,288,105916,10018,88,12167581,0,1460198,6658,1,105916
SharkH3art,151993019,109000,487,371717,10998,517,15135550,0,1090747,1555,1,371717
dawit,319722487,42700,399,28268,1626,322,1355428,0,211741,587,2,28268
antonychenn,173246171,1650000,330,803045,57232,566,11912488,0,155666,534,0,803045
How to Genshin Impact,125597341,2,12,82,0,0,27437,0,13113604,0,0,82
Mocca Impact,173961214,4820,56,20988,557,121,4121603,0,1392714,1781,8,20988
Mista Genshin,42596051,2190,202,4147,64,14,1218335,0,605658,450,2,4147
Genshin impact Channel,161326315,0,4,2,0,0,40078,0,,,,2
Xlice,194386462,479000,1249,98231,4001,150,8735255,0,65592,128,0,98231
Voltyea,136525461,205000,514,112732,3305,173,8580402,0,175886,248,0,112732
